64,30,34,0.242,0.012,0.011,1.27,1012011,0,0,0,6,0.5,3.8,0.4,0.4,2.25,0.19
64,30,34,0.242,0.012,0.011,1.27,1013011,0,0,0,0.027,0.006,15,7,7,0.031,0.007
66,30,36,0.218,0.008,0.008,1.164,1011010,1.26,0,0,0,0,0,0,0,,
66,30,36,0.218,0.008,0.008,1.164,101130130,0,0,0,0.365,0.175,0.365,0.009,0.047,,
66,30,36,0.218,0.008,0.008,1.164,1011010,0,0,0,0,0,0,1.2,4.9,,
68,30,38,0.205,0.012,0.013,1.11,1211011,15.04,1.82,1.82,0,0,0,0,0,0,0
68,30,38,0.205,0.012,0.013,1.11,1012011,0,0,0,0.19,0.04,7,4,4,0.033,0.007
70,30,40,0.228,0.165,0.165,1.27,1211011,53.69,1.63,1.63,0,0,0,0,0,0,0
70,30,40,0.228,0.165,0.165,1.27,1012011,0,0,0,0.045,0.009,1.8,0.4,0.4,0.0017,0.0004
72,30,42,0.2129,0.041,0.041,0,1211011,21.13,1.92,1.92,0,0,0,0,0,0,0
74,30,44,0.243,0.009,0.01,0,1211011,21.15,1.63,1.63,0,0,0,0,0,0,0
76,30,46,0.206,0.013,0.013,0,1211011,15.2,1.9,1.9,0,0,0,0,0,0,0
78,30,48,0.147,0.018,0.019,0,1211011,7.8,1.9,1.9,0,0,0,0,0,0,0
80,30,50,0.141,0.008,0.009,0,1211011,7.1,0.9,0.9,0,0,0,0,0,0,0
64,32,32,0.259,0.023,0.017,0,1211011,27.4,4.9,3.6,0,0,0,0,0,0,0
66,32,34,0.174,0.017,0.017,0.99,1211011,12.5,2.4,2.4,0,0,0,0,0,0,0
68,32,36,0.206,0.015,0.015,1.2,1211011,17.35,2.55,2.55,0,0,0,0,0,0,0
70,32,38,0.2245,0.003,0.003,1.33,1211011,20.54,0.47,0.47,0,0,0,0,0,0,0
70,32,38,0.2245,0.003,0.003,1.33,1012011,0,0,0,0.125,0.006,5.2,0.4,0.4,0.0038,0.0002
70,32,38,0.2245,0.003,0.003,1.33,1013011,0,0,0,0.35,0.07,0.75,0.75,0,0.2,0.05
70,32,38,0.2245,0.003,0.003,1.33,1013012,0,0,0,0.59,0.08,3.7,3.7,0,0.93,0.13
72,32,40,0.2424,0.003,0.003,1.463,1211011,23.94,0.67,0.67,0,0,0,0,0,0,0
72,32,40,0.2424,0.003,0.003,1.463,1012011,0,0,0,0,0,9.18,0.02,0.02,0,0
74,32,42,0.2825,0.003,0.003,1.737,1211011,32.51,0.65,0.65,0,0,0,0,0,0,0
74,32,42,0.2825,0.003,0.003,1.737,1012011,0,0,0,0.06,0.06,32,32,0,0.026,0.026
76,32,44,0.2623,0.004,0.004,1.641,1211011,28.03,0.84,0.84,0,0,0,0,0,0,0
78,32,46,0.2346,0.007,0.008,0,1211011,22.4,1.4,1.4,0,0,0,0,0,0,0
78,32,46,0.2346,0.007,0.008,0,1012011,0,0,0,0,0,0,0,0,0,0
80,32,48,0.183,0.016,0.019,0,1211011,13.6,2.6,2.6,0,0,0,0,0,0,0
82,32,50,0.167,0.01,0.01,0,1211011,11.4,1.4,1.4,0,0,0,0,0,0,0
68,34,34,0.236,0.016,0.017,0,1211011,25.6,3.5,3.5,0,0,0,0,0,0,0
70,34,36,0.309,0.033,0.033,1.94,1211011,44.35,9.34,9.34,0,0,0,0,0,0,0
72,34,38,0.224,0.014,0.013,1.44,1211011,23.27,2.81,2.81,0,0,0,0,0,0,0
72,34,38,0.224,0.014,0.013,1.44,1012011,0,0,0,0.6,0.4,29,18,18,0.006,0.004
74,34,40,0.3019,0.003,0.003,1.972,1211011,41.94,0.87,0.87,0,0,0,0,0,0,0
74,34,40,0.3019,0.003,0.003,1.972,1012011,0,0,0,0.203,0.014,23.1,2.2,2.2,0.0105,0.0048
76,34,42,0.309,0.004,0.004,2.055,1211011,43.93,1.05,1.05,0,0,0,0,0,0,0
76,34,42,0.309,0.004,0.004,2.055,1012011,0,0,0,0.134,0.015,34,12,12,0.026,0.003
78,34,44,0.2712,0.004,0.004,1.835,1211011,33.85,0.91,0.91,0,0,0,0,0,0,0
78,34,44,0.2712,0.004,0.004,1.835,1012011,0,0,0,0,0,0,0,0,0,0
80,34,46,0.2318,0.003,0.003,1.595,1211011,24.71,0.59,0.59,0,0,0,0,0,0,0
80,34,46,0.2318,0.003,0.003,1.595,1012011,0,0,0,0,0,0,0,0,0,0
82,34,48,0.1934,0.003,0.003,1.353,1211011,17.2,0.47,0.47,0,0,0,0,0,0,0
82,34,48,0.1934,0.003,0.003,1.353,1012011,0,0,0,0,0,0,0,0,0,0
84,34,50,0.145,0.001,0.002,0,1211011,9.61,0.14,0.14,0,0,0,0,0,0,0
72,36,36,0.319,0.021,0.023,0,1211011,52.4,7.2,7.2,0,0,0,0,0,0,0
72,36,36,0.319,0.021,0.023,0,1012011,0,0,0,0,0,71,6,6,0,0
74,36,38,0.419,0.025,0.025,2.9,1211011,91.04,10.84,10.84,0,0,0,0,0,0,0
74,36,38,0.419,0.025,0.025,2.9,1012011,0,0,0,1.9,0.5,113,27,27,0.017,0.004
76,36,40,0.409,0.006,0.006,2.878,1211011,86.18,2.51,2.51,0,0,0,0,0,0,0
78,36,42,0.352,0.011,0.011,2.52,1211011,63.95,3.94,3.94,0,0,0,0,0,0,0
78,36,42,0.352,0.011,0.011,2.52,1012011,0,0,0,0.136,0.006,47,13,13,0.024,0.001
80,36,44,0.265,0.007,0.008,1.93,1211011,36.14,2.05,2.05,0,0,0,0,0,0,0
80,36,44,0.265,0.007,0.008,1.93,1012011,0,0,0,0.103,0.011,21,10,10,0.023,0.003
82,36,46,0.2021,0.005,0.005,1.497,1211011,21.08,0.95,0.95,0,0,0,0,0,0,0
82,36,46,0.2021,0.005,0.005,1.497,1012011,0,0,0,0.087,0.008,7.3,2.3,2.3,0.0174,0.0016
82,36,46,0.2021,0.005,0.005,1.497,1013011,0,0,0,0.14,0.04,7,1,1,0.1,0.03
84,36,48,0.1489,0.004,0.004,1.121,1211011,11.44,0.55,0.55,0,0,0,0,0,0,0
84,36,48,0.1489,0.004,0.004,1.121,1012011,0,0,0,0,0,0,0,0,0,0
86,36,50,0.145,0.006,0.006,1.107,1211011,10.82,0.89,0.89,0,0,0,0,0,0,0
88,36,52,0.12222,0.006,0.007,0,1211011,7.7,0.8,0.8,0,0,0,0,0,0,0
90,36,54,0.1577,0.115,0.036,0,1211011,12.83,25.66,5.14,0,0,0,0,0,0,0
92,36,56,0.1805,0.003,0.003,0,1211011,16.81,0.57,0.57,0,0,0,0,0,0,0
94,36,58,0.194,0.011,0.011,0,1211011,19.5,2.2,2.2,0,0,0,0,0,0,0
96,36,60,0.254,0.026,0.028,0,1211011,33.4,7.1,7.1,0,0,0,0,0,0,0
76,38,38,0.443,0.031,0.026,0,1211011,113,16,13,0,0,0,0,0,0,0
78,38,40,0.435,0.03,0.031,3.29,1211011,109.11,15.16,15.16,0,0,0,0,0,0,0
80,38,42,0.404,0.007,0.008,3.1,1211011,93.67,3.52,3.52,0,0,0,0,0,0,0
82,38,44,0.29,0.006,0.005,2.271,1211011,48.49,1.89,1.89,0,0,0,0,0,0,0
82,38,44,0.29,0.006,0.005,2.271,1012011,0,0,0,0,0,0,0,0,0,0
82,38,44,0.29,0.006,0.005,2.271,1013011,0,0,0,0,0,7,2,2,0,0
84,38,46,0.214,0.016,0.016,1.7,1211011,26.45,4.03,4.03,0,0,0,0,0,0,0
86,38,48,0.14,0.008,0.007,1.13,1211011,11.35,1.24,1.24,0,0,0,0,0,0,0
88,38,50,0.1173,0.003,0.003,0.961,1211011,7.91,0.43,0.43,0,0,0,0,0,0,0
88,38,50,0.1173,0.003,0.003,0.961,1012011,0,0,0,0,0,0,0,0,0,0
90,38,52,0.127,0.019,0.02,1.05,1211011,9.43,2.84,2.84,0,0,0,0,0,0,0
92,38,54,0.124,0.027,0.028,1.05,1211011,9.24,3.89,3.89,0,0,0,0,0,0,0
94,38,56,0.125,0.025,0.026,1.07,1211011,9.3,3.7,3.7,0,0,0,0,0,0,0
96,38,58,0.17,0.055,0.055,1.48,1211011,18.38,10.72,10.72,0,0,0,0,0,0,0
96,38,58,0.17,0.055,0.055,1.48,1012011,0,0,0,0,0,0,0,0,0,0
